UPC_Code,SKU,Name,Stock_WA,Stock_NJ,ETA_WA,ETA_NJ,Remove
849043001540,AD-1024-02,ZIO SIDETABLE BLACK OAK,0,0,03/27/2021,06/07/2021,
849043002714,AD-1025-03,ZIO SIDETABLE WALNUT,25,0,03/27/2021,,
849043004473,AD-1026-03,CHIO SIDETABLE WALNUT,0,0,,,Remove
849043001519,AD-1031-05,VOLTA ARM CHAIR CREAM WHITE,11,0,06/13/2021,,
849043012140,AD-1031-25,VOLTA ARM CHAIR GREY,0,0,,,Remove
840026404693,AD-1031-26,VOLTA ARM CHAIR BLUE,0,0,,,Remove
849043066990,AM-1003-10,LEMMY LINEN FEATHER CUSHION PURPLE 20X20,0,0,,,Remove
849043014946,AX-1001-37,ASTORIA COFFEE TABLE,0,0,,,Remove
849043030526,BC-1001-03,FLORENCE RECTANGULAR DINING TABLE SMALL WALNUT,28,33,09/21/2021,06/13/2021,
849043030533,BC-1002-03,FLORENCE ROUND DINING TABLE WALNUT,0,0,,,Remove
849043037747,BC-1011-20,DYLAN CONSOLE TABLE RUSTIC WALNUT,0,0,,,Remove
849043038430,BC-1014-02,FIGARO DINING CHAIR BLACK-M2,0,0,,,Remove
849043038461,BC-1016-02,DECO DINING CHAIR BLACK-M2,50,29,04/20/2021,,
849043038454,BC-1016-05,DECO DINING CHAIR WHITE PVC-M2,5,0,04/14/2021,04/01/2021,
849043044660,BC-1016-25,DECO DINING CHAIR GREY-M2,14,0,06/02/2021,06/13/2021,
849043075473,BC-1016-48,DECO DINING CHAIR BLACK PVC-M2,0,1,04/14/2021,06/10/2021,
849043045360,BC-1025-03,REDEMPTION SHELF LARGE WALNUT,0,0,04/16/2021,06/10/2021,
849043055338,BC-1030-03,TRI-MESA DINING TABLE,9,0,06/18/2021,06/10/2021,
849043055352,BC-1032-03,"TRI-MESA 48"" ROUND DINING TABLE",0,0,,,Remove
849043055369,BC-1033-03,TRI-MESA BAR TABLE,15,3,05/21/2021,06/10/2021,
849043055796,BC-1034-03,MONUMENT BOOKSHELF,0,0,,,Remove
840026405072,BC-1043-03,AXIO DINING TABLE,0,0,05/20/2021,06/28/2021,
840026406871,BC-1044-03,SORIANO COFFEE TABLE,0,0,,,Remove
840026406888,BC-1045-18,ARIANO COFFEE TABLE,0,0,05/21/2021,08/02/2021,
840026411912,BC-1046-03,MALIBU DINING TABLE WALNUT,0,0,05/22/2021,07/20/2021,
840026419741,BC-1046-18,MALIBU DINING TABLE WHITE OAK,0,0,04/14/2021,04/01/2021,
840026411936,BC-1047-03,MALIBU ROUND DINING TABLE WALNUT,7,0,,06/10/2021,
840026419758,BC-1047-18,MALIBU ROUND DINING TABLE  WHITE OAK,0,0,05/22/2021,07/20/2021,
840026420327,BC-1056-24,KENTON DINING CHAIR-M2,43,0,,,
840026415941,BC-1075-03,VENETO ROUND DINING TABLE,3,11,,,
840026420495,BC-1078-18,LEONE DINING CHAIR WHITE OAK M2,12,10,05/21/2021,06/10/2021,
840026420488,BC-1078-24,LEONE DINING CHAIR WALNUT M2,0,0,05/21/2021,06/10/2021,
840026420679,BC-1081-24,SAKURAI DINING TABLE,0,0,05/22/2021,06/10/2021,
